CBFB	MYH11
CREBBP	EP300
SMARCA2	ZNF362
CUX1	NUTM1
ABL1	ETV6
CCDC28A	NPM1
DEK	NUP214
FOXP1	PAX5
DDX3X	MLLT10
MLLT10	PICALM
IGH	MYC
CSF1R	SSBP2
ABL2	RCSD1
ETV6	MECOM
CBFA2T3	PAX5
ARID1B	BCL11B
ABL1	BCR
TCF3	ZNF384
DACH1	PAX5
CEBPD	IGH
KMT2A	MLLT11
EWSR1	ZNF384
EPOR	IGH
EBF1	JAK2
KMT2A	MLLT3
GATA1	MYB
ETV6	IKZF1
RUNX1	USP42
AUTS2	PAX5
FOXP1	IGH
HNRNPUL1	MEF2D
ABL2	ZC3HAV1
ETV6	PDGFRB
CREBBP	KAT6A
PDGFRB	SSBP2
BCL9	MEF2D
NUTM1	ZNF618
DUX4	IGV
PAX5	ZNF521
MBNL1	PAX5
ACIN1	NUTM1
PAX5	ZCCHC7
CDK6	MECOM
KMT2A	USP2
DUX4	IGH
HAUS1	NPM1
CCND3	IGH
SMARCA2	ZNF384
ETV6	JAK2
AFF1	KMT2A
ELN	PAX5
KDM5A	NUP98
ETV6	PAX5
CRLF2	IGH
DDX3X	USP9X
BCL2	MYC
TAF15	ZNF384
ATF7IP	JAK2
CBFA2T3	GLIS2
CREBBP	ZNF384
NOL4L	PAX5
ABL1	RCSD1
MLF1	NPM1
ERG	FUS
RUNX1	RUNX1T1
CBFA2T2	RUNX1
KMT2A	MLLT10
ERG	HNRNPH1
KAT6A	NCOA2
IKZF1	ZEB2
NCOA5	PAX5
PBX1	TCF3
GATA2	MECOM
AFDN	KMT2A
ETV6	MNX1
NSD1	NUP98
JAK2	SSBP2
EP300	ZNF384
HOXB9	NIPBL
ETV6	RUNX1
IGH	P2RY8
EBF1	PDGFRB
NUP98	RAP1GDS1
PDGFRB	ZEB2
CRLF2	P2RY8
MRTFA	RBM15
KMT2A	MLLT1
BCL2	IGH
FEV	FUS
ABL1	NUP214
ATF7IP	PDGFRB
BCR	JAK2
DUX4	ETV6
EBF1	ETV6
ELMO1	ETV6
IKZF1	KMT2A
KMT2A	MLLT6
ELL	KMT2A
KMT2A	SEPTIN6
JAK2	PAX5
FBRSL1	PAX5
PML	RARA
FLI1	TCF3
IKZF1	NUTM1
BRD9	NUTM1
HLF	TCF3
